go_id	type
http://purl.obolibrary.org/obo/GO_0045121	cellular_component
http://purl.obolibrary.org/obo/GO_0005641	cellular_component
http://purl.obolibrary.org/obo/GO_0043235	cellular_component
http://purl.obolibrary.org/obo/GO_0051425	molecular_function
http://purl.obolibrary.org/obo/GO_0048018	molecular_function
http://purl.obolibrary.org/obo/GO_0004867	molecular_function
http://purl.obolibrary.org/obo/GO_0030546	molecular_function
http://purl.obolibrary.org/obo/GO_0007417	biological_process
http://purl.obolibrary.org/obo/GO_0005102	molecular_function
http://purl.obolibrary.org/obo/GO_1990000	biological_process
http://purl.obolibrary.org/obo/GO_0048143	biological_process
http://purl.obolibrary.org/obo/GO_0001774	biological_process
http://purl.obolibrary.org/obo/GO_1900272	biological_process
http://purl.obolibrary.org/obo/GO_0070374	biological_process
http://purl.obolibrary.org/obo/GO_0150003	biological_process
http://purl.obolibrary.org/obo/GO_1990535	biological_process
http://purl.obolibrary.org/obo/GO_0002265	biological_process
http://purl.obolibrary.org/obo/GO_1904646	biological_process
http://purl.obolibrary.org/obo/GO_0051091	biological_process
http://purl.obolibrary.org/obo/GO_0046330	biological_process
http://purl.obolibrary.org/obo/GO_0048169	biological_process
http://purl.obolibrary.org/obo/GO_0007612	biological_process
http://purl.obolibrary.org/obo/GO_0007611	biological_process
http://purl.obolibrary.org/obo/GO_0014005	biological_process
http://purl.obolibrary.org/obo/GO_0032760	biological_process
http://purl.obolibrary.org/obo/GO_0032722	biological_process
http://purl.obolibrary.org/obo/GO_0032731	biological_process
http://purl.obolibrary.org/obo/GO_0032755	biological_process
http://purl.obolibrary.org/obo/GO_0098815	biological_process
http://purl.obolibrary.org/obo/GO_1900273	biological_process
http://purl.obolibrary.org/obo/GO_0008285	biological_process
http://purl.obolibrary.org/obo/GO_0045821	biological_process
http://purl.obolibrary.org/obo/GO_0051402	biological_process
http://purl.obolibrary.org/obo/GO_1905908	biological_process
http://purl.obolibrary.org/obo/GO_0033138	biological_process
http://purl.obolibrary.org/obo/GO_0010800	biological_process
http://purl.obolibrary.org/obo/GO_2000406	biological_process
http://purl.obolibrary.org/obo/GO_0050850	biological_process
http://purl.obolibrary.org/obo/GO_0050729	biological_process
http://purl.obolibrary.org/obo/GO_1901224	biological_process
http://purl.obolibrary.org/obo/GO_0032092	biological_process
http://purl.obolibrary.org/obo/GO_0051247	biological_process
http://purl.obolibrary.org/obo/GO_2000310	biological_process
http://purl.obolibrary.org/obo/GO_0050730	biological_process
http://purl.obolibrary.org/obo/GO_1905606	biological_process
http://purl.obolibrary.org/obo/GO_0030111	biological_process
http://purl.obolibrary.org/obo/GO_0050808	biological_process
http://purl.obolibrary.org/obo/GO_0042405	cellular_component
http://purl.obolibrary.org/obo/GO_0051168	biological_process
http://purl.obolibrary.org/obo/GO_0016363	cellular_component
http://purl.obolibrary.org/obo/GO_0034046	molecular_function
http://purl.obolibrary.org/obo/GO_0008266	molecular_function
http://purl.obolibrary.org/obo/GO_0043621	unknown
http://purl.obolibrary.org/obo/GO_0007399	biological_process
http://purl.obolibrary.org/obo/GO_0006396	biological_process
http://purl.obolibrary.org/obo/GO_0097138	cellular_component
http://purl.obolibrary.org/obo/GO_0005829	cellular_component
http://purl.obolibrary.org/obo/GO_0005741	cellular_component
http://purl.obolibrary.org/obo/GO_0008656	molecular_function
http://purl.obolibrary.org/obo/GO_0043280	biological_process
http://purl.obolibrary.org/obo/GO_0008289	molecular_function
http://purl.obolibrary.org/obo/GO_0006915	biological_process
http://purl.obolibrary.org/obo/GO_0046931	biological_process
http://purl.obolibrary.org/obo/GO_0005543	molecular_function
http://purl.obolibrary.org/obo/GO_0019903	molecular_function
http://purl.obolibrary.org/obo/GO_0001836	biological_process
http://purl.obolibrary.org/obo/GO_0097202	biological_process
http://purl.obolibrary.org/obo/GO_0045862	biological_process
http://purl.obolibrary.org/obo/GO_0071456	biological_process
http://purl.obolibrary.org/obo/GO_0071260	biological_process
http://purl.obolibrary.org/obo/GO_0071316	biological_process
http://purl.obolibrary.org/obo/GO_0097191	biological_process
http://purl.obolibrary.org/obo/GO_0097193	biological_process
http://purl.obolibrary.org/obo/GO_0043065	biological_process
http://purl.obolibrary.org/obo/GO_0010508	biological_process
http://purl.obolibrary.org/obo/GO_0050679	biological_process
http://purl.obolibrary.org/obo/GO_0090200	biological_process
http://purl.obolibrary.org/obo/GO_0046902	biological_process
http://purl.obolibrary.org/obo/GO_0004709	molecular_function
http://purl.obolibrary.org/obo/GO_0005509	molecular_function
http://purl.obolibrary.org/obo/GO_0071277	biological_process
http://purl.obolibrary.org/obo/GO_0007173	biological_process
http://purl.obolibrary.org/obo/GO_0004708	molecular_function
http://purl.obolibrary.org/obo/GO_0004672	molecular_function
http://purl.obolibrary.org/obo/GO_0006468	biological_process
http://purl.obolibrary.org/obo/GO_0004674	molecular_function
http://purl.obolibrary.org/obo/GO_0043066	biological_process
http://purl.obolibrary.org/obo/GO_0097110	molecular_function
http://purl.obolibrary.org/obo/GO_0090150	biological_process
http://purl.obolibrary.org/obo/GO_0010828	biological_process
http://purl.obolibrary.org/obo/GO_0000165	biological_process
http://purl.obolibrary.org/obo/GO_0070413	biological_process
http://purl.obolibrary.org/obo/GO_0005929	cellular_component
http://purl.obolibrary.org/obo/GO_0030971	molecular_function
http://purl.obolibrary.org/obo/GO_0061630	molecular_function
http://purl.obolibrary.org/obo/GO_0046875	molecular_function
http://purl.obolibrary.org/obo/GO_0017124	molecular_function
http://purl.obolibrary.org/obo/GO_0004842	molecular_function
http://purl.obolibrary.org/obo/GO_0042059	biological_process
http://purl.obolibrary.org/obo/GO_0048260	biological_process
http://purl.obolibrary.org/obo/GO_0006511	biological_process
http://purl.obolibrary.org/obo/GO_0051897	biological_process
http://purl.obolibrary.org/obo/GO_0016567	biological_process
http://purl.obolibrary.org/obo/GO_0031519	cellular_component
http://purl.obolibrary.org/obo/GO_0061665	molecular_function
http://purl.obolibrary.org/obo/GO_0035102	cellular_component
http://purl.obolibrary.org/obo/GO_0032183	molecular_function
http://purl.obolibrary.org/obo/GO_0019789	molecular_function
http://purl.obolibrary.org/obo/GO_0016925	biological_process
http://purl.obolibrary.org/obo/GO_0004725	molecular_function
http://purl.obolibrary.org/obo/GO_0000086	biological_process
http://purl.obolibrary.org/obo/GO_0110032	biological_process
http://purl.obolibrary.org/obo/GO_0004721	molecular_function
http://purl.obolibrary.org/obo/GO_0010971	biological_process
http://purl.obolibrary.org/obo/GO_0051087	molecular_function
http://purl.obolibrary.org/obo/GO_0008283	biological_process
http://purl.obolibrary.org/obo/GO_0034644	biological_process
http://purl.obolibrary.org/obo/GO_0000079	biological_process
http://purl.obolibrary.org/obo/GO_0009314	biological_process
http://purl.obolibrary.org/obo/GO_0005813	cellular_component
http://purl.obolibrary.org/obo/GO_0000922	cellular_component
http://purl.obolibrary.org/obo/GO_0000278	biological_process
http://purl.obolibrary.org/obo/GO_0032467	biological_process
http://purl.obolibrary.org/obo/GO_0045931	biological_process
http://purl.obolibrary.org/obo/GO_0050699	molecular_function
http://purl.obolibrary.org/obo/GO_0007088	biological_process
http://purl.obolibrary.org/obo/GO_0000307	cellular_component
http://purl.obolibrary.org/obo/GO_0000308	cellular_component
http://purl.obolibrary.org/obo/GO_0060828	biological_process
http://purl.obolibrary.org/obo/GO_0030332	molecular_function
http://purl.obolibrary.org/obo/GO_0004693	molecular_function
http://purl.obolibrary.org/obo/GO_0008140	molecular_function
http://purl.obolibrary.org/obo/GO_0030178	biological_process
http://purl.obolibrary.org/obo/GO_1904864	biological_process
http://purl.obolibrary.org/obo/GO_2000134	biological_process
http://purl.obolibrary.org/obo/GO_0030177	biological_process
http://purl.obolibrary.org/obo/GO_0031647	biological_process
http://purl.obolibrary.org/obo/GO_0090090	biological_process
